invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,VAT,total,order_date,order_time,payment_method,cogs,gross_margin_percentage,gross_income,rating,time_of_day,day_name,month_name
101-17-6199,A,Yangon,Normal,Male,"Food and beverages",45.79,7,16.0265,336.56,2019-03-13,19:44:00,"Credit card",320.53,4.761904716,16.03,7.0,Evening,Wednesday,March
101-81-4070,C,Naypyitaw,Member,Female,"Health and beauty",62.82,2,6.2820,131.92,2019-01-17,12:36:00,Ewallet,125.64,4.761904716,6.28,4.9,Afternoon,Thursday,January
102-06-2002,C,Naypyitaw,Member,Male,"Sports and travel",25.25,5,6.3125,132.56,2019-03-20,17:52:00,Cash,126.25,4.761904716,6.31,6.1,Afternoon,Wednesday,March
102-77-2261,C,Naypyitaw,Member,Male,"Health and beauty",65.31,7,22.8585,480.03,2019-03-05,18:02:00,"Credit card",457.17,4.761904716,22.86,4.2,Evening,Tuesday,March
105-10-6182,A,Yangon,Member,Male,"Fashion accessories",21.48,2,2.1480,45.11,2019-02-27,12:22:00,Ewallet,42.96,4.761904716,2.15,6.6,Afternoon,Wednesday,February
105-31-1824,A,Yangon,Member,Male,"Sports and travel",69.52,7,24.3320,510.97,2019-02-01,15:10:00,"Credit card",486.64,4.761904716,24.33,8.5,Afternoon,Friday,February
106-35-6779,A,Yangon,Member,Male,"Home and lifestyle",44.34,2,4.4340,93.11,2019-03-27,11:26:00,Cash,88.68,4.761904716,4.43,5.8,Morning,Wednesday,March
109-28-2512,B,Mandalay,Member,Female,"Fashion accessories",97.61,6,29.2830,614.94,2019-01-07,15:01:00,Ewallet,585.66,4.761904716,29.28,9.9,Afternoon,Monday,January
109-86-4363,B,Mandalay,Member,Female,"Sports and travel",60.08,7,21.0280,441.59,2019-02-14,11:36:00,"Credit card",420.56,4.761904716,21.03,4.5,Morning,Thursday,February
110-05-6330,C,Naypyitaw,Normal,Female,"Food and beverages",39.43,6,11.8290,248.41,2019-03-25,20:18:00,"Credit card",236.58,4.761904716,11.83,9.4,Evening,Monday,March
110-48-7033,B,Mandalay,Member,Male,"Fashion accessories",32.62,4,6.5240,137.00,2019-01-29,14:12:00,Cash,130.48,4.761904716,6.52,9.0,Afternoon,Tuesday,January
114-35-5271,B,Mandalay,Normal,Female,"Electronic accessories",57.91,8,23.1640,486.44,2019-02-07,15:06:00,Cash,463.28,4.761904716,23.16,8.1,Afternoon,Thursday,February
115-38-7388,C,Naypyitaw,Member,Female,"Fashion accessories",10.18,8,4.0720,85.51,2019-03-30,12:51:00,"Credit card",81.44,4.761904716,4.07,9.5,Afternoon,Saturday,March
115-99-4379,B,Mandalay,Member,Female,"Fashion accessories",54.73,7,19.1555,402.27,2019-03-14,19:02:00,"Credit card",383.11,4.761904716,19.16,8.5,Evening,Thursday,March
118-62-1812,C,Naypyitaw,Member,Female,"Home and lifestyle",78.38,4,15.6760,329.20,2019-03-24,17:56:00,Cash,313.52,4.761904716,15.68,7.9,Afternoon,Sunday,March
120-06-4233,C,Naypyitaw,Normal,Male,"Electronic accessories",30.61,6,9.1830,192.84,2019-03-12,20:36:00,Cash,183.66,4.761904716,9.18,9.3,Evening,Tuesday,March
120-54-2248,B,Mandalay,Normal,Female,"Food and beverages",28.86,5,7.2150,151.52,2019-01-22,18:08:00,"Credit card",144.30,4.761904716,7.22,8.0,Evening,Tuesday,January
122-61-9553,C,Naypyitaw,Normal,Female,"Electronic accessories",51.32,9,23.0940,484.97,2019-03-14,19:33:00,Cash,461.88,4.761904716,23.09,5.6,Evening,Thursday,March
123-19-1176,A,Yangon,Member,Male,"Health and beauty",58.22,8,23.2880,489.05,2019-01-27,20:33:00,Ewallet,465.76,4.761904716,23.29,8.4,Evening,Sunday,January
123-35-4896,C,Naypyitaw,Normal,Female,"Sports and travel",46.66,9,20.9970,440.94,2019-02-17,19:11:00,Ewallet,419.94,4.761904716,21.00,5.3,Evening,Sunday,February
124-31-1458,A,Yangon,Member,Female,"Electronic accessories",79.59,3,11.9385,250.71,2019-01-08,14:30:00,Cash,238.77,4.761904716,11.94,6.6,Afternoon,Tuesday,January
125-45-2293,A,Yangon,Normal,Female,"Fashion accessories",99.10,6,29.7300,624.33,2019-01-19,13:11:00,Cash,594.60,4.761904716,29.73,4.2,Afternoon,Saturday,January
126-54-1082,A,Yangon,Member,Female,"Home and lifestyle",21.54,9,9.6930,203.55,2019-01-07,11:44:00,"Credit card",193.86,4.761904716,9.69,8.8,Morning,Monday,January
127-47-6963,A,Yangon,Normal,Male,"Health and beauty",51.71,4,10.3420,217.18,2019-03-09,13:53:00,"Credit card",206.84,4.761904716,10.34,9.8,Afternoon,Saturday,March
129-29-8530,A,Yangon,Member,Male,"Sports and travel",62.62,5,15.6550,328.76,2019-03-10,19:15:00,Ewallet,313.10,4.761904716,15.66,7.0,Evening,Sunday,March
130-67-4723,A,Yangon,Member,Male,"Food and beverages",48.50,6,14.5500,305.55,2019-01-11,13:57:00,Ewallet,291.00,4.761904716,14.55,9.4,Afternoon,Friday,January
130-98-8941,C,Naypyitaw,Normal,Male,"Fashion accessories",64.26,7,22.4910,472.31,2019-02-09,10:00:00,Cash,449.82,4.761904716,22.49,5.7,Morning,Saturday,February
131-15-8856,C,Naypyitaw,Member,Female,"Food and beverages",72.52,8,29.0080,609.17,2019-03-30,19:26:00,"Credit card",580.16,4.761904716,29.01,4.0,Evening,Saturday,March
131-70-8179,A,Yangon,Member,Female,"Health and beauty",92.09,3,13.8135,290.08,2019-02-17,16:27:00,Cash,276.27,4.761904716,13.81,4.2,Afternoon,Sunday,February
132-23-6451,A,Yangon,Member,Male,"Health and beauty",20.97,5,5.2425,110.09,2019-01-04,13:21:00,Cash,104.85,4.761904716,5.24,7.8,Afternoon,Friday,January
132-32-9879,B,Mandalay,Member,Female,"Electronic accessories",93.96,4,18.7920,394.63,2019-03-09,18:00:00,Cash,375.84,4.761904716,18.79,9.5,Evening,Saturday,March
133-14-7229,C,Naypyitaw,Normal,Male,"Health and beauty",62.87,2,6.2870,132.03,2019-01-01,11:43:00,Cash,125.74,4.761904716,6.29,5.0,Morning,Tuesday,January
133-77-3154,B,Mandalay,Member,Male,"Fashion accessories",60.18,4,12.0360,252.76,2019-02-16,18:04:00,"Credit card",240.72,4.761904716,12.04,9.4,Evening,Saturday,February
134-54-4720,B,Mandalay,Normal,Female,"Electronic accessories",42.42,8,16.9680,356.33,2019-01-30,13:58:00,Ewallet,339.36,4.761904716,16.97,5.7,Afternoon,Wednesday,January
134-75-2619,A,Yangon,Member,Male,"Electronic accessories",19.32,7,6.7620,142.00,2019-03-25,18:51:00,Cash,135.24,4.761904716,6.76,6.9,Evening,Monday,March
135-13-8269,B,Mandalay,Member,Female,"Food and beverages",78.88,2,7.8880,165.65,2019-01-26,16:04:00,Cash,157.76,4.761904716,7.89,9.1,Afternoon,Saturday,January
135-84-8019,A,Yangon,Normal,Female,"Fashion accessories",77.93,9,35.0685,736.44,2019-02-27,16:10:00,Ewallet,701.37,4.761904716,35.07,7.6,Afternoon,Wednesday,February
136-08-6195,A,Yangon,Normal,Female,"Home and lifestyle",69.96,8,27.9840,587.66,2019-02-15,17:01:00,"Credit card",559.68,4.761904716,27.98,6.4,Afternoon,Friday,February
137-63-5492,C,Naypyitaw,Normal,Male,"Electronic accessories",58.76,10,29.3800,616.98,2019-01-29,14:26:00,Ewallet,587.60,4.761904716,29.38,9.0,Afternoon,Tuesday,January
137-74-8729,C,Naypyitaw,Normal,Female,"Fashion accessories",12.19,8,4.8760,102.40,2019-03-13,12:47:00,Ewallet,97.52,4.761904716,4.88,6.8,Afternoon,Wednesday,March
138-17-5109,A,Yangon,Member,Female,"Home and lifestyle",89.21,9,40.1445,843.03,2019-01-15,15:42:00,"Credit card",802.89,4.761904716,40.14,6.5,Afternoon,Tuesday,January
139-20-0155,B,Mandalay,Member,Male,"Electronic accessories",40.30,10,20.1500,423.15,2019-01-24,17:37:00,"Credit card",403.00,4.761904716,20.15,7.0,Afternoon,Thursday,January
139-32-4183,A,Yangon,Member,Female,"Sports and travel",97.48,9,43.8660,921.19,2019-03-14,14:19:00,Ewallet,877.32,4.761904716,43.87,7.4,Afternoon,Thursday,March
139-52-2867,C,Naypyitaw,Normal,Female,"Fashion accessories",22.51,7,7.8785,165.45,2019-02-13,10:50:00,"Credit card",157.57,4.761904716,7.88,4.8,Morning,Wednesday,February
142-63-6033,B,Mandalay,Normal,Male,"Home and lifestyle",92.36,5,23.0900,484.89,2019-03-20,19:17:00,Ewallet,461.80,4.761904716,23.09,4.9,Evening,Wednesday,March
142-72-4741,C,Naypyitaw,Member,Male,"Fashion accessories",93.20,2,9.3200,195.72,2019-02-28,18:37:00,"Credit card",186.40,4.761904716,9.32,6.0,Evening,Thursday,February
144-51-6085,A,Yangon,Member,Male,"Home and lifestyle",70.74,4,14.1480,297.11,2019-01-05,16:05:00,"Credit card",282.96,4.761904716,14.15,4.4,Afternoon,Saturday,January
145-94-9061,B,Mandalay,Normal,Female,"Food and beverages",88.36,5,22.0900,463.89,2019-01-25,19:48:00,Cash,441.80,4.761904716,22.09,9.6,Evening,Friday,January
146-09-5432,A,Yangon,Member,Male,"Food and beverages",35.04,9,15.7680,331.13,2019-02-09,19:17:00,Ewallet,315.36,4.761904716,15.77,4.6,Evening,Saturday,February
148-41-7930,C,Naypyitaw,Normal,Male,"Health and beauty",99.96,7,34.9860,734.71,2019-01-23,10:33:00,Cash,699.72,4.761904716,34.99,6.1,Morning,Wednesday,January
148-82-2527,C,Naypyitaw,Member,Female,"Home and lifestyle",12.12,10,6.0600,127.26,2019-03-05,13:44:00,"Credit card",121.20,4.761904716,6.06,8.4,Afternoon,Tuesday,March
149-14-0304,C,Naypyitaw,Member,Female,"Health and beauty",28.50,8,11.4000,239.40,2019-02-06,14:24:00,Cash,228.00,4.761904716,11.40,6.6,Afternoon,Wednesday,February
149-15-7606,B,Mandalay,Member,Male,"Sports and travel",37.32,9,16.7940,352.67,2019-03-06,15:31:00,Ewallet,335.88,4.761904716,16.79,5.1,Afternoon,Wednesday,March
149-61-1929,A,Yangon,Normal,Male,"Sports and travel",64.19,10,32.0950,674.00,2019-01-19,14:08:00,"Credit card",641.90,4.761904716,32.10,6.7,Afternoon,Saturday,January
149-71-6266,B,Mandalay,Member,Male,"Sports and travel",78.07,9,35.1315,737.76,2019-01-28,12:43:00,Cash,702.63,4.761904716,35.13,4.5,Afternoon,Monday,January
150-89-8043,A,Yangon,Normal,Male,"Sports and travel",44.65,3,6.6975,140.65,2019-02-14,15:04:00,Cash,133.95,4.761904716,6.70,6.2,Afternoon,Thursday,February
151-16-1484,A,Yangon,Member,Male,"Electronic accessories",32.25,4,6.4500,135.45,2019-02-13,12:38:00,Ewallet,129.00,4.761904716,6.45,6.5,Afternoon,Wednesday,February
151-27-8496,C,Naypyitaw,Normal,Female,"Electronic accessories",56.13,4,11.2260,235.75,2019-01-19,11:43:00,Ewallet,224.52,4.761904716,11.23,8.6,Morning,Saturday,January
151-33-7434,B,Mandalay,Normal,Female,"Food and beverages",67.77,1,3.3885,71.16,2019-02-04,20:43:00,"Credit card",67.77,4.761904716,3.39,6.5,Evening,Monday,February
152-03-4217,B,Mandalay,Normal,Female,"Home and lifestyle",11.28,9,5.0760,106.60,2019-03-17,11:55:00,"Credit card",101.52,4.761904716,5.08,4.3,Morning,Sunday,March
152-08-9985,B,Mandalay,Member,Male,"Health and beauty",64.36,9,28.9620,608.20,2019-03-12,12:09:00,"Credit card",579.24,4.761904716,28.96,8.6,Afternoon,Tuesday,March
152-68-2907,A,Yangon,Normal,Male,"Food and beverages",52.20,3,7.8300,164.43,2019-02-15,13:30:00,"Credit card",156.60,4.761904716,7.83,9.5,Afternoon,Friday,February
153-58-4872,C,Naypyitaw,Member,Female,"Food and beverages",74.89,4,14.9780,314.54,2019-03-01,15:32:00,Ewallet,299.56,4.761904716,14.98,4.2,Afternoon,Friday,March
154-74-7179,B,Mandalay,Normal,Male,"Sports and travel",54.45,1,2.7225,57.17,2019-02-26,19:24:00,Ewallet,54.45,4.761904716,2.72,7.9,Evening,Tuesday,February
154-87-7367,C,Naypyitaw,Normal,Male,"Home and lifestyle",65.26,8,26.1040,548.18,2019-03-15,14:04:00,Ewallet,522.08,4.761904716,26.10,6.3,Afternoon,Friday,March
155-45-3814,C,Naypyitaw,Member,Female,"Electronic accessories",88.55,8,35.4200,743.82,2019-03-19,15:29:00,Ewallet,708.40,4.761904716,35.42,4.7,Afternoon,Tuesday,March
156-20-0370,B,Mandalay,Normal,Female,"Electronic accessories",25.45,1,1.2725,26.72,2019-03-10,18:10:00,"Credit card",25.45,4.761904716,1.27,5.1,Evening,Sunday,March
156-95-3964,A,Yangon,Normal,Female,"Food and beverages",55.39,4,11.0780,232.64,2019-03-25,15:19:00,Ewallet,221.56,4.761904716,11.08,8.0,Afternoon,Monday,March
157-13-5295,A,Yangon,Member,Male,"Health and beauty",51.94,10,25.9700,545.37,2019-03-09,18:24:00,Ewallet,519.40,4.761904716,25.97,6.5,Evening,Saturday,March
160-22-2687,A,Yangon,Member,Female,"Health and beauty",95.95,5,23.9875,503.74,2019-01-23,14:21:00,Ewallet,479.75,4.761904716,23.99,8.8,Afternoon,Wednesday,January
162-48-8011,A,Yangon,Member,Female,"Food and beverages",44.59,5,11.1475,234.10,2019-02-10,15:10:00,Cash,222.95,4.761904716,11.15,8.5,Afternoon,Sunday,February
162-65-8559,C,Naypyitaw,Member,Male,"Food and beverages",68.98,1,3.4490,72.43,2019-01-21,20:13:00,Cash,68.98,4.761904716,3.45,4.8,Evening,Monday,January
163-56-7055,C,Naypyitaw,Member,Male,"Fashion accessories",48.71,1,2.4355,51.15,2019-03-26,19:20:00,Cash,48.71,4.761904716,2.44,4.1,Evening,Tuesday,March
166-19-2553,A,Yangon,Member,Male,"Sports and travel",89.06,6,26.7180,561.08,2019-01-18,17:26:00,Cash,534.36,4.761904716,26.72,9.9,Afternoon,Friday,January
169-52-4504,A,Yangon,Normal,Female,"Electronic accessories",15.69,3,2.3535,49.42,2019-03-14,14:13:00,"Credit card",47.07,4.761904716,2.35,5.8,Afternoon,Thursday,March
172-42-8274,B,Mandalay,Normal,Female,"Electronic accessories",38.27,2,3.8270,80.37,2019-03-02,18:18:00,"Credit card",76.54,4.761904716,3.83,5.8,Evening,Saturday,March
173-50-1108,B,Mandalay,Member,Female,"Sports and travel",20.18,4,4.0360,84.76,2019-02-13,12:14:00,"Credit card",80.72,4.761904716,4.04,5.0,Afternoon,Wednesday,February
173-57-2300,C,Naypyitaw,Member,Male,"Sports and travel",72.88,2,7.2880,153.05,2019-03-13,12:51:00,Cash,145.76,4.761904716,7.29,6.1,Afternoon,Wednesday,March
173-82-9529,B,Mandalay,Normal,Female,"Fashion accessories",37.95,10,18.9750,398.48,2019-01-26,14:51:00,Cash,379.50,4.761904716,18.98,9.7,Afternoon,Saturday,January
